USER,SOURCE,QUERY_RUNS,DISTINCT_QUERY_RUNS,TOTAL_NUM_QUERY_RUNS
user_2,table_47,"[1, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1]",30,42
user_2,table_48,[1],1,1
user_2,table_49,"[2, 1]",2,3
user_2,table_50,[1],1,1
user_2,table_51,"[2, 2, 1, 1, 1, 2, 1, 1]",8,11
user_2,table_52,"[1, 1, 10, 1, 2, 1, 13, 4, 1, 1, 1, 4, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 4, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,91
user_2,table_53,[1],1,1
user_2,table_54,"[1, 1]",2,2
user_2,table_55,"[1, 1, 1]",3,3
user_2,table_56,[1],1,1
user_2,table_57,"[1, 2, 1, 13, 4, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 2]",18,39
user_2,table_58,[1],1,1
user_2,table_59,"[1, 1, 2, 2, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 5, 1, 2, 1, 1]",37,54
user_2,table_60,"[1, 1]",2,2
user_2,table_61,"[1, 3, 1, 1, 1, 1]",6,8
user_2,table_62,"[1, 1]",2,2
user_2,table_63,[1],1,1
user_2,table_64,[1],1,1
user_2,table_65,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,9
user_2,table_66,"[1, 1]",2,2
user_2,table_67,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]",16,18
user_2,table_68,[1],1,1
user_2,table_69,[1],1,1
user_2,table_70,"[1, 3, 1]",3,5
user_2,table_71,"[1, 1]",2,2
user_2,table_72,[1],1,1
user_2,table_73,"[1, 1, 1]",3,3
user_2,table_74,[1],1,1
user_2,table_75,"[1, 1]",2,2
user_2,table_76,"[1, 1]",2,2
user_2,table_77,[1],1,1
user_2,table_78,"[1, 1]",2,2
user_2,table_79,"[1, 1]",2,2
user_2,table_80,[1],1,1
user_2,table_81,[1],1,1
user_2,table_82,"[1, 1]",2,2
user_2,table_83,[1],1,1
user_2,table_84,[1],1,1
user_2,table_85,"[1, 1]",2,2
user_2,table_86,[1],1,1
user_2,table_87,"[1, 1]",2,2
user_2,table_88,"[1, 1, 1, 1, 1, 1]",6,6
user_2,table_89,"[1, 1]",2,2
user_2,table_90,"[1, 1, 1, 1, 1, 1]",6,6
user_2,table_91,[1],1,1
user_2,table_92,"[1, 1]",2,2
user_2,table_93,"[1, 1, 1, 1, 1]",5,5
user_2,table_94,[1],1,1
user_2,table_95,[1],1,1
user_2,table_96,[1],1,1
user_2,table_97,[1],1,1
user_2,table_98,"[1, 1]",2,2
user_2,table_99,[1],1,1
user_2,table_100,[1],1,1
user_2,table_101,"[1, 1]",2,2
user_2,table_102,"[2, 2, 2, 1, 1, 1, 1, 2, 1, 7, 2, 1, 7, 1, 1, 5, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1]",30,56
user_2,table_103,"[1, 1]",2,2
user_2,table_104,"[1, 1, 1, 1]",4,4
user_2,table_105,"[1, 1]",2,2
user_2,table_106,[1],1,1
user_2,table_107,[1],1,1
user_2,table_108,"[1, 2, 1, 1]",4,5
user_2,table_109,[1],1,1
user_2,table_110,[1],1,1
user_2,table_111,[1],1,1
user_2,table_112,[1],1,1
user_2,table_113,[1],1,1
user_2,table_114,[1],1,1
user_2,table_115,"[1, 1]",2,2
user_2,table_116,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1]",11,13
user_2,table_117,[1],1,1
user_2,table_118,[1],1,1
user_2,table_119,[1],1,1
user_2,table_120,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1]",12,16
user_2,table_121,"[1, 1]",2,2
user_2,table_122,[1],1,1
user_2,table_123,[1],1,1
user_2,table_124,[1],1,1
user_2,table_125,[1],1,1
user_2,table_126,[1],1,1
user_2,table_127,"[1, 1]",2,2
user_2,table_128,"[1, 1, 1]",3,3
user_2,table_129,[1],1,1
user_2,table_130,[1],1,1
user_2,table_131,"[1, 1, 1]",3,3
user_2,table_132,"[1, 1, 1]",3,3
user_2,table_133,[1],1,1
user_2,table_134,[1],1,1
user_2,table_135,"[1, 1, 1, 1, 3]",5,7
user_2,table_136,[2],1,2
user_2,table_137,"[1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 2]",11,15
user_2,table_138,"[2, 1, 1, 1, 1]",5,6
user_2,table_139,"[2, 1, 1, 1, 1]",5,6
user_2,table_140,"[2, 1, 1, 1, 1]",5,6
user_2,table_141,"[2, 1, 1, 1, 1]",5,6
user_2,table_142,"[2, 1, 1, 1, 1]",5,6
user_2,table_143,"[2, 1, 1, 1, 1]",5,6
user_2,table_144,"[2, 1, 1, 1, 1]",5,6
user_2,table_145,[1],1,1
user_2,table_146,[1],1,1
user_2,table_147,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]",49,55
user_2,table_148,"[5, 1, 1, 1, 1, 1, 1]",7,11
user_2,table_149,"[1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1]",22,29
user_2,table_150,[1],1,1
user_2,table_151,[1],1,1
user_2,table_152,"[1, 1, 6, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1]",14,22
user_2,table_153,[1],1,1
user_2,table_154,"[1, 6, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]",35,44
user_2,table_155,[1],1,1
user_2,table_156,[1],1,1
user_2,table_3,"[1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1]",31,39
user_2,table_157,[1],1,1
user_2,table_158,"[1, 5, 1, 1, 3, 1]",6,12
user_2,table_159,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1]",125,149
user_2,table_160,[1],1,1
user_2,table_161,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24
user_2,table_162,[1],1,1
user_2,table_163,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1]",31,37
user_2,table_164,"[4, 5, 1, 1, 1, 1, 1, 2, 1, 1, 1]",11,19
user_2,table_165,"[1, 1, 1, 1]",4,4
user_2,table_166,[1],1,1
user_2,table_167,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1]",29,39
user_2,table_168,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",12,12
user_2,table_169,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",10,11
user_2,table_170,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",95,116
user_2,table_171,"[1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]",32,41
user_2,table_172,[1],1,1
user_2,table_173,[1],1,1
user_2,table_174,"[1, 1, 1, 1, 1, 1, 2]",7,8
user_2,table_175,"[2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]",81,93
user_2,table_176,"[1, 1, 1, 4, 2, 1, 2]",7,12
user_2,table_177,[1],1,1
user_2,table_178,[1],1,1
user_2,table_179,[1],1,1
user_2,table_180,"[1, 1, 1, 1, 1]",5,5
user_2,table_181,"[1, 1, 2, 2, 9, 2, 1, 1, 1, 3, 3, 1, 3]",13,30
user_2,table_182,[1],1,1
user_2,table_5,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1]",24,26
user_2,table_183,[1],1,1
user_2,table_184,"[1, 1, 1, 1, 1, 1, 1]",7,7
user_2,table_185,[1],1,1
user_2,table_186,"[1, 1, 1, 1, 1]",5,5
user_2,table_187,[1],1,1
user_2,table_188,[1],1,1
user_2,table_189,"[1, 1]",2,2
user_2,table_190,"[2, 1, 1]",3,4
user_2,table_191,[1],1,1
user_2,table_192,"[1, 1]",2,2
user_2,table_193,"[2, 1]",2,3
user_2,table_194,[1],1,1
user_2,table_195,"[1, 1, 1, 1]",4,4
user_2,table_196,"[1, 1, 1, 1]",4,4
user_2,table_197,"[1, 1]",2,2
user_2,table_198,[3],1,3
user_2,table_199,[1],1,1
user_2,table_200,[1],1,1
user_2,table_201,[1],1,1
user_2,table_202,[1],1,1
user_2,table_203,[1],1,1
user_2,table_204,[1],1,1
user_2,table_205,[1],1,1
user_2,table_206,[1],1,1
user_2,table_207,[1],1,1
user_2,table_208,[1],1,1
user_2,table_209,[1],1,1
user_2,table_210,[1],1,1
user_2,table_211,[1],1,1
user_2,table_212,[1],1,1
user_2,table_213,"[1, 1]",2,2
user_2,table_214,[1],1,1
user_2,table_215,"[1, 1]",2,2
user_2,table_216,[2],1,2
user_2,table_217,[3],1,3
user_2,table_218,[3],1,3
user_2,table_219,"[1, 1, 1, 1, 1, 1]",6,6
user_2,table_220,[1],1,1
user_2,table_221,[1],1,1
user_2,table_222,"[1, 1]",2,2
user_2,table_223,"[2, 1, 2]",3,5
user_2,table_224,"[1, 1, 1]",3,3
user_3,table_225,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1]",30,35
user_4,table_149,"[1, 1]",2,2
user_4,table_159,"[1, 1]",2,2
user_4,table_226,"[1, 1, 1, 1]",4,4
user_4,table_227,"[1, 1, 1, 1, 1]",5,5
user_4,table_9,"[1, 3]",2,4
user_4,table_222,"[3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",12,15
user_5,table_228,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,9
user_5,table_229,"[1, 1, 2, 1, 1, 1, 1, 1, 1]",9,10
user_5,table_230,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",9,9
user_5,table_231,"[17, 15, 1, 16, 16]",5,65
user_5,table_232,"[1, 1]",2,2
user_5,table_233,"[1, 1]",2,2
user_5,table_234,"[1, 1, 2, 2, 1, 1, 2]",7,10
user_5,table_235,"[2, 2, 2, 1, 2, 1, 2]",7,12
user_5,table_236,"[2, 2, 1, 2, 1, 1, 1, 1]",8,11
user_5,table_237,"[79, 80]",2,159
user_5,table_138,"[1, 2, 1, 93, 2, 81, 87, 1, 89, 92, 93, 86, 1]",13,629
user_5,table_238,"[82, 80]",2,162
user_5,table_239,"[91, 89, 91, 89, 1, 98, 3, 84, 47, 93, 83, 90, 42, 2, 92, 93]",16,1088
user_5,table_240,"[32, 47, 22, 1, 85, 94, 9, 92, 95, 13, 2, 79, 62, 92, 9, 82, 93, 81]",18,990
user_5,table_241,[82],1,82
user_5,table_242,[2],1,2
user_5,table_243,"[84, 80, 79, 82, 81]",5,406
user_5,table_244,"[80, 96, 98, 82, 83, 82, 95, 96, 99, 95, 98]",11,1004
user_5,table_245,"[1, 96, 94]",3,191
user_5,table_246,"[98, 92, 98, 1]",4,289
user_5,table_247,"[3, 42]",2,45
user_5,table_248,[92],1,92
user_5,table_249,"[81, 80, 83, 92, 93]",5,429
user_5,table_250,[98],1,98
user_5,table_251,"[91, 87, 90]",3,268
user_5,table_252,"[98, 93]",2,191
user_5,table_253,[92],1,92
user_5,table_254,"[91, 93]",2,184
user_5,table_255,[93],1,93
user_5,table_256,[94],1,94
user_5,table_257,[92],1,92
user_5,table_258,[83],1,83
user_5,table_259,"[67, 67, 66, 67, 67, 65, 67]",7,466
user_5,table_260,[1],1,1
user_5,table_261,"[85, 80]",2,165
user_5,table_262,"[40, 10, 1, 43]",4,94
user_5,table_263,"[40, 1, 10, 1, 1, 43, 6, 1, 39, 45, 3]",11,190
user_5,table_264,"[85, 3, 79, 81, 83, 82, 92, 93]",8,598
user_5,table_265,"[79, 81, 92, 93]",4,345
user_5,table_266,"[96, 96, 98, 98]",4,388
user_5,table_267,"[97, 95, 95]",3,287
user_5,table_268,[98],1,98
user_5,table_269,"[97, 96]",2,193
user_5,table_270,"[97, 98]",2,195
user_5,table_271,"[1, 83, 80, 93, 81, 99]",6,437
user_5,table_272,[98],1,98
user_5,table_139,"[83, 88, 81, 95, 94, 1, 2, 92, 1, 95, 3, 18, 2, 1, 95, 1, 87, 94, 91, 1, 87, 88, 90, 89, 90, 89, 89, 1]",28,1648
user_5,table_273,"[91, 90, 91, 87, 91]",5,450
user_5,table_274,"[1, 1, 1, 1]",4,4
user_5,table_275,"[1, 81, 88, 97, 98, 89, 23, 96, 97, 1, 1, 1, 94, 55, 83, 1, 90]",17,996
user_5,table_276,"[82, 95, 1, 83, 1, 98, 4, 99, 94]",9,557
user_5,table_277,"[3, 53, 42]",3,98
user_5,table_278,"[3, 42]",2,45
user_5,table_140,[2],1,2
user_5,table_279,[92],1,92
user_5,table_280,[92],1,92
user_5,table_281,"[82, 83]",2,165
user_5,table_282,"[81, 84, 84, 81, 77, 98, 97]",7,602
user_5,table_283,"[1, 93]",2,94
user_5,table_284,"[84, 92, 83, 90, 81, 99, 83, 92, 97, 93]",10,894
user_5,table_285,[95],1,95
user_5,table_141,"[91, 95, 95, 40, 92, 1, 1, 32, 1, 22, 91, 85, 1, 2, 1, 3, 97, 1, 95, 90, 96, 98, 3, 1, 91, 10, 89, 47, 87, 90, 53, 9, 93, 92, 1, 83, 1, 43, 6, 1, 2, 95, 88, 87, 94, 1, 41, 98, 62, 42, 90, 90, 89, 21, 89, 92, 88, 39, 85, 97, 81, 93, 45, 3, 94]",65,3636
user_5,table_286,"[84, 1, 93, 83, 82]",5,343
user_5,table_287,"[86, 98, 83, 81, 96, 81, 82]",7,607
user_5,table_288,"[1, 96, 93, 99, 81, 83]",6,453
user_5,table_289,"[85, 1, 93, 81, 84, 83]",6,427
user_5,table_290,[95],1,95
user_5,table_291,"[40, 3, 10, 47, 1, 43, 42]",7,186
user_5,table_292,"[82, 81, 84, 81, 83]",5,411
user_5,table_293,[62],1,62
user_5,table_142,"[95, 92, 32, 47, 22, 1, 3, 94, 53, 9, 96, 13, 2, 1, 41, 98, 62, 42]",18,803
user_5,table_294,"[92, 47, 22, 91, 1, 9, 92, 13, 90]",9,457
user_5,table_295,"[95, 32, 47, 22, 1, 53, 9, 96, 13, 1, 41, 62]",12,472
user_5,table_296,"[85, 88, 84, 84, 82, 87, 92, 83]",8,685
user_5,table_297,[22],1,22
user_5,table_298,"[1, 97]",2,98
user_5,table_299,"[1, 95, 97, 98, 95, 87, 96, 97, 95, 94, 85, 94]",12,1034
user_5,table_300,"[92, 1, 82, 86, 1, 91, 81, 91, 83, 91]",10,699
user_5,table_301,[20],1,20
user_5,table_302,"[53, 1, 1, 41, 90, 21]",6,207
user_5,table_143,"[84, 83, 80, 18, 73, 2, 1]",7,341
user_5,table_303,"[5, 16, 15, 1, 15, 2]",6,54
user_5,table_144,"[81, 94, 81, 81, 2, 1]",6,340
user_5,table_304,"[78, 82, 80, 5, 80, 1, 78, 1, 83, 80, 2]",11,570
user_5,table_305,[22],1,22
user_5,table_306,[21],1,21
user_5,table_307,"[1, 1, 1, 1, 1]",5,5
user_5,table_308,"[1, 1, 1, 1, 1]",5,5
user_5,table_309,"[3, 1]",2,4
user_5,table_310,"[3, 1]",2,4
user_5,table_311,"[3, 1]",2,4
user_5,table_312,"[3, 1]",2,4
user_5,table_313,[97],1,97
user_5,table_314,[97],1,97
user_5,table_315,[94],1,94
user_5,table_316,[95],1,95
user_5,table_317,[93],1,93
user_5,table_318,[95],1,95
user_5,table_319,"[90, 89, 83, 94, 84, 84, 83, 95, 83, 83, 84, 83, 80, 83]",14,1198
user_5,table_320,[96],1,96
user_5,table_321,"[82, 86, 83, 82, 83, 83]",6,499
user_5,table_322,"[84, 95, 83, 94, 83, 88, 82]",7,609
user_5,table_323,"[97, 97]",2,194
user_5,table_324,"[97, 97]",2,194
user_5,table_325,"[86, 96, 97]",3,279
user_5,table_326,[98],1,98
user_5,table_327,[98],1,98
user_5,table_328,"[83, 90, 89, 94, 95, 97, 83, 83, 83, 83, 94, 83, 82, 89, 90, 88, 81]",17,1487
user_5,table_329,"[96, 82, 84, 83, 83, 83]",6,511
user_5,table_330,"[84, 90, 86, 90]",4,350
user_5,table_331,"[97, 90]",2,187
user_5,table_332,"[96, 95]",2,191
user_5,table_333,[88],1,88
user_5,table_334,"[5, 92, 88, 2]",4,187
user_5,table_335,[88],1,88
user_5,table_336,[95],1,95
user_5,table_337,[95],1,95
user_5,table_338,[89],1,89
user_5,table_339,[89],1,89
user_5,table_340,[88],1,88
user_5,table_341,[95],1,95
user_5,table_342,[89],1,89
user_5,table_343,"[93, 93, 96, 95, 95, 93, 92, 91]",8,748
user_5,table_344,[95],1,95
user_5,table_345,[88],1,88
user_5,table_346,[95],1,95
user_5,table_347,[95],1,95
user_5,table_348,[95],1,95
user_5,table_349,[95],1,95
user_5,table_350,"[92, 89]",2,181
user_5,table_351,"[1, 1, 2, 2, 1, 1, 1]",7,9
user_5,table_352,"[2, 2, 1, 2]",4,7
user_5,table_353,"[1, 1, 1, 1, 1, 2]",6,7
user_5,table_145,"[23, 1, 1, 55, 1]",5,81
user_5,table_354,[97],1,97
user_5,table_355,[97],1,97
user_5,table_356,[96],1,96
user_5,table_357,"[87, 90, 82, 91, 91, 88, 1, 1, 91, 83, 90, 80, 89, 83, 89, 1, 7, 1, 1, 84, 89, 90, 1, 1, 92, 1, 91, 93, 1]",29,1689
user_5,table_358,"[91, 78, 88, 82]",4,339
user_5,table_359,[88],1,88
user_5,table_360,[88],1,88
user_5,table_361,"[81, 85, 92, 9, 93, 81]",6,441
user_5,table_362,"[82, 90, 82]",3,254
user_5,table_363,"[92, 93]",2,185
user_5,table_364,[89],1,89
user_5,table_365,"[91, 80, 85, 90, 84, 81, 82, 85, 83]",9,761
user_5,table_366,"[81, 91, 90, 84, 90, 89, 85, 83, 80, 81]",10,854
user_5,table_367,[88],1,88
user_5,table_368,[89],1,89
user_5,table_369,"[84, 1, 85, 3, 83, 87, 84, 79, 84, 88, 2]",11,680
user_5,table_370,"[1, 85, 3, 82, 87, 83, 88, 2]",8,431
user_5,table_371,[91],1,91
user_5,table_372,[90],1,90
user_5,table_373,[88],1,88
user_5,table_374,"[87, 88, 96, 91, 85, 1, 84, 91]",8,623
user_5,table_375,"[82, 87, 91, 82, 92, 93]",6,527
user_5,table_376,"[2, 7]",2,9
user_5,table_377,"[87, 90, 32, 47, 91, 22, 83, 88, 85, 91, 81, 1, 90, 89, 84, 9, 13, 84, 85, 89, 83, 83, 62, 1, 91, 82]",26,1743
user_5,table_152,[358],1,358
user_5,table_3,"[97, 3, 97, 47, 88, 94, 1, 42, 91, 97]",10,657
user_5,table_378,[1],1,1
user_5,table_379,"[1, 1]",2,2
user_5,table_159,[73],1,73
user_5,table_168,"[1, 1]",2,2
user_5,table_169,[1],1,1
user_5,table_175,"[1, 2]",2,3
user_5,table_177,[90],1,90
user_5,table_178,[90],1,90
user_5,table_179,[92],1,92
user_5,table_180,[92],1,92
user_5,table_182,[89],1,89
user_5,table_196,"[91, 1, 1, 90, 90, 89]",6,362
user_5,table_380,"[7, 92]",2,99
user_5,table_381,[2],1,2
user_5,table_197,"[89, 89]",2,178
user_5,table_382,"[5, 1, 1]",3,7
user_5,table_383,"[2, 3, 2]",3,7
user_5,table_384,"[2, 5]",2,7
user_5,table_385,"[1, 5, 1]",3,7
user_5,table_198,[95],1,95
user_5,table_199,[92],1,92
user_5,table_200,[94],1,94
user_5,table_201,[95],1,95
user_5,table_202,[95],1,95
user_5,table_203,[92],1,92
user_5,table_204,[90],1,90
user_5,table_205,[93],1,93
user_5,table_206,[94],1,94
user_5,table_207,[98],1,98
user_5,table_208,[89],1,89
user_5,table_209,[96],1,96
user_5,table_210,[92],1,92
user_5,table_211,[97],1,97
user_5,table_212,"[90, 4]",2,94
user_5,table_213,"[89, 91]",2,180
user_5,table_214,[93],1,93
user_5,table_215,[94],1,94
user_5,table_386,[91],1,91
user_5,table_387,[91],1,91
user_5,table_216,"[8, 8, 2, 97]",4,115
user_5,table_217,[97],1,97
user_5,table_218,[94],1,94
user_5,table_219,"[96, 97, 98, 95, 94, 95]",6,575
user_5,table_220,"[85, 9]",2,94
user_5,table_221,"[98, 1]",2,99
user_5,table_222,"[93, 97]",2,190
user_5,table_223,"[95, 1, 1, 97, 98, 1, 96]",7,389
user_5,table_388,"[1, 2]",2,3
user_5,table_224,"[96, 3, 92, 1, 72, 21]",6,285
user_6,table_389,[1],1,1
user_6,table_390,[1],1,1
user_6,table_391,[1],1,1
user_6,table_392,[1],1,1
user_6,table_393,[1],1,1
user_6,table_394,[1],1,1
user_6,table_395,[1],1,1
user_6,table_396,[1],1,1
user_6,table_397,[1],1,1
user_6,table_398,[1],1,1
user_6,table_399,[1],1,1
user_6,table_400,"[1, 1]",2,2
user_6,table_401,[1],1,1
user_6,table_402,[1],1,1
user_6,table_403,[1],1,1
user_6,table_404,[1],1,1
user_6,table_405,[1],1,1
user_6,table_406,[1],1,1
user_6,table_407,[1],1,1
user_6,table_408,[1],1,1
user_6,table_409,[1],1,1
user_6,table_410,[1],1,1
user_6,table_411,[1],1,1
user_6,table_412,[1],1,1
user_6,table_413,"[1, 1]",2,2
user_6,table_414,[1],1,1
user_6,table_415,[1],1,1
user_6,table_416,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24,24
user_6,table_417,[1],1,1
user_6,table_418,[1],1,1
user_6,table_419,[1],1,1
user_6,table_420,[1],1,1
user_6,table_421,[1],1,1
user_6,table_422,[1],1,1
user_6,table_423,[1],1,1
user_6,table_424,[1],1,1
user_6,table_425,[1],1,1
user_6,table_426,[1],1,1
user_6,table_427,"[1, 1]",2,2
user_6,table_428,[1],1,1
user_6,table_429,[1],1,1
user_6,table_430,[1],1,1
user_6,table_431,[1],1,1
user_6,table_432,[1],1,1
user_6,table_433,[1],1,1
user_6,table_434,[1],1,1
user_6,table_435,[1],1,1
user_6,table_436,[1],1,1
user_6,table_437,"[1, 1]",2,2
