USER,SOURCE
user_10,table_129
user_10,table_5
user_10,table_6
user_10,table_14
user_10,table_16
user_10,table_25
user_10,table_114
user_10,table_53
user_11,table_6
user_11,table_16
user_12,table_129
user_12,table_6
user_12,table_12
user_12,table_16
user_12,table_105
user_12,table_107
user_12,table_169
user_12,table_232
user_13,table_6
user_13,table_0
user_13,table_16
user_13,table_98
user_13,table_161
user_13,table_100
user_13,table_2
user_13,table_53
user_14,table_50
user_15,table_214
user_15,table_233
user_15,table_234
user_15,table_129
user_15,table_4
user_15,table_130
user_15,table_5
user_15,table_6
user_15,table_7
user_15,table_9
user_15,table_10
user_15,table_13
user_15,table_134
user_15,table_135
user_15,table_0
user_15,table_215
user_15,table_95
user_15,table_145
user_15,table_216
user_15,table_235
user_15,table_217
user_15,table_16
user_15,table_236
user_15,table_237
user_15,table_23
user_15,table_24
user_15,table_25
user_15,table_238
user_15,table_29
user_15,table_167
user_15,table_168
user_15,table_35
user_15,table_36
user_15,table_239
user_15,table_169
user_15,table_170
user_15,table_218
user_15,table_41
user_15,table_44
user_15,table_47
user_15,table_212
user_15,table_53
user_15,table_219
user_15,table_58
user_16,table_129
user_16,table_5
user_16,table_6
user_16,table_135
user_16,table_0
user_17,table_233
user_17,table_234
user_17,table_4
user_17,table_130
user_17,table_5
user_17,table_6
user_17,table_7
user_17,table_0
user_17,table_146
user_17,table_147
user_17,table_152
user_17,table_16
user_17,table_18
user_17,table_22
user_17,table_24
user_17,table_158
user_17,table_25
user_17,table_98
user_17,table_26
user_17,table_27
user_17,table_100
user_17,table_29
user_17,table_34
user_17,table_119
user_17,table_120
user_17,table_187
user_17,table_122
user_17,table_40
user_17,table_43
user_17,table_49
user_17,table_52
user_17,table_53
user_17,table_240
user_17,table_241
user_17,table_219
user_17,table_58
user_17,table_242
user_17,table_243
user_18,table_129
user_18,table_5
user_19,table_4
user_19,table_6
user_19,table_9
user_19,table_16
user_19,table_24
user_19,table_244
user_19,table_46
user_19,table_47
user_20,table_5
user_20,table_42
user_20,table_58
